Urls,Authors,Titles,Reviews,Votes,Average_rating,Number_of_Rated_people
https://www.goodreads.com/book/show/14942.Mrs_Dalloway,Virginia Woolf,Mrs. Dalloway,38808,508,3.79,251583
https://www.goodreads.com/book/show/16735.The_Prince_of_Tides,Pat Conroy,The Prince of Tides,38639,508,4.23,201538
https://www.goodreads.com/book/show/9375.Fried_Green_Tomatoes_at_the_Whistle_Stop_Cafe,Fannie Flagg,Fried Green Tomatoes at the Whistle Stop Cafe,38465,536,4.27,283229
https://www.goodreads.com/book/show/9275658-legend,Marie Lu,"Legend (Legend, #1)",38333,437,4.16,473160
https://www.goodreads.com/book/show/301082.Dead_Until_Dark,Charlaine Harris,"Dead Until Dark (Sookie Stackhouse, #1)",38327,485,3.96,523676
https://www.goodreads.com/book/show/11857408-fifty-shades-darker,E.L. James,"Fifty Shades Darker (Fifty Shades, #2)",38219,452,3.83,813445
https://www.goodreads.com/book/show/17347634-me-before-you,Jojo Moyes,"Me Before You (Me Before You, #1)",38216,443,4.25,1343346
https://www.goodreads.com/book/show/11387515-wonder,R.J. Palacio,"Wonder (Wonder, #1)",38147,443,4.39,904632
https://www.goodreads.com/book/show/19089.Middlemarch,George Eliot,Middlemarch,37413,467,3.99,145062
https://www.goodreads.com/book/show/44186.The_Monster_at_the_End_of_this_Book,Jon Stone,The Monster at the End of this Book,37282,462,4.44,123251
https://www.goodreads.com/book/show/37781.Things_Fall_Apart,Chinua Achebe,"Things Fall Apart (The African Trilogy, #1)",37279,483,3.71,320147
https://www.goodreads.com/book/show/227443.Bridget_Jones_s_Diary,Helen Fielding,"Bridget Jones's Diary (Bridget Jones, #1)",37215,511,3.79,920927
https://www.goodreads.com/book/show/15745753-eleanor-park,Rainbow Rowell,Eleanor & Park,36861,430,3.99,1007553
https://www.goodreads.com/book/show/13623848-the-song-of-achilles,Madeline Miller,The Song of Achilles,36694,392,4.41,631553
https://www.goodreads.com/book/show/68428.The_Final_Empire,Brandon Sanderson,"The Final Empire (Mistborn, #1)",36684,404,4.44,489832
https://www.goodreads.com/book/show/36402034-do-androids-dream-of-electric-sheep,Philip K. Dick,Do Androids Dream of Electric Sheep?,36632,472,4.08,391542
https://www.goodreads.com/book/show/65605.The_Magician_s_Nephew,C.S. Lewis,"The Magician's Nephew (Chronicles of Narnia, #6)",36430,509,4.04,466524
https://www.goodreads.com/book/show/16793.Stardust,Neil Gaiman,Stardust,36390,472,4.09,399890
https://www.goodreads.com/book/show/32542.A_Time_to_Kill,John Grisham,"A Time to Kill (Jake Brigance, #1)",36331,492,4.09,758084
https://www.goodreads.com/book/show/5113.Franny_and_Zooey,J.D. Salinger,Franny and Zooey,36145,463,3.97,197904
https://www.goodreads.com/book/show/122.The_Power_of_One,Bryce Courtenay,"The Power of One (The Power of One, #1)",36107,414,4.32,85072
https://www.goodreads.com/book/show/8921.The_Hound_of_the_Baskervilles,Arthur Conan Doyle,"The Hound of the Baskervilles (Sherlock Holmes, #5)",35840,496,4.13,293291
https://www.goodreads.com/book/show/47281.Number_the_Stars,Lois Lowry,Number the Stars,35770,474,4.16,503174
https://www.goodreads.com/book/show/3685.Black_Beauty,Anna Sewell,Black Beauty,35683,516,3.97,258041
https://www.goodreads.com/book/show/4374400-if-i-stay,Gayle Forman,"If I Stay (If I Stay, #1)",35484,428,3.93,791558
https://www.goodreads.com/book/show/43615.The_Gunslinger,Stephen King,"The Gunslinger (The Dark Tower, #1)",35398,435,3.94,555860
https://www.goodreads.com/book/show/21.A_Short_History_of_Nearly_Everything,Bill Bryson,A Short History of Nearly Everything,35205,424,4.19,344716
https://www.goodreads.com/book/show/5805.V_for_Vendetta,Alan Moore,V for Vendetta,35087,457,4.25,288802
https://www.goodreads.com/book/show/3153910-the-art-of-racing-in-the-rain,Garth Stein,The Art of Racing in the Rain,35082,416,4.21,478318
https://www.goodreads.com/book/show/18710190-allegiant,Veronica Roth,"Allegiant (Divergent, #3)",35050,433,3.62,931633
https://www.goodreads.com/book/show/2213661.The_Graveyard_Book,Neil Gaiman,The Graveyard Book,34837,446,4.13,488204
https://www.goodreads.com/book/show/6327.The_Witches,Roald Dahl,The Witches,34607,463,4.15,358412
https://www.goodreads.com/book/show/28676.American_Psycho,Bret Easton Ellis,American Psycho,34564,415,3.82,270065
https://www.goodreads.com/book/show/43035.White_Fang,Jack London,White Fang,34501,488,3.99,169421
https://www.goodreads.com/book/show/7588.A_Portrait_of_the_Artist_as_a_Young_Man,James Joyce,A Portrait of the Artist as a Young Man,34368,452,3.62,136785
https://www.goodreads.com/book/show/7733.Gulliver_s_Travels,Jonathan Swift,Gulliver's Travels: Travels into Several Remote Nations of the World.,34317,525,3.58,249397
https://www.goodreads.com/book/show/310259.Love_You_Forever,Robert Munsch,Love You Forever,34203,435,4.35,219545
https://www.goodreads.com/book/show/14905.The_Complete_Novels,Jane Austen,The Complete Novels,34101,458,4.57,31015
